,ticker,company_name,NASDAQ_sector
7,PCB,PCB Bancorp Common Stock,Financial
8,FRBA,First Bank Common Stock,Financial
9,ISBA,Isabella Bank Corp,Financial
10,PDLB,PDL Community Bancorp Common Stock,Financial
11,KLR,"Kaleyra, Inc. Common Stock",Financial
12,ASASF,Asia Standard Intl Gp Ord,Financial
13,BCML,BayCom Corp Common Stock,Financial
14,SCM,Stellus Capital Investment Corporation Common Stock,Financial
15,ASPS,Altisource Portfolio Solutions S.A. Common Stock,Financial
16,FRBK,"Republic First Bancorp, Inc. Common Stock",Financial
17,INBK,First Internet Bancorp Common Stock,Financial
18,MRTI,Maxus Realty Trust Inc,Financial
19,ADKT,Adirondack Trust Co.,Financial
0,NRIM,Northrim BanCorp Inc Common Stock,Financial
1,ILCC,International Leaders,Financial
2,NBN,Northeast Bank Common Stock,Financial
3,EVBN,"Evans Bancorp, Inc. Common Stock",Financial
4,MUDS,Mudrick Capital Acquisition Corporation Class A Common Stock,Financial
5,CALB,California BanCorp Common Stock,Financial
6,TCFC,The Community Financial Corporation Common Stock,Financial
7,SFE,"Safeguard Scientifics, Inc. New Common Stock",Financial
8,WNEB,"Western New England Bancorp, Inc. Common Stock",Financial
9,LEVL,"Level One Bancorp, Inc. Common Stock",Financial
10,CIZN,Citizens Holding Company Common Stock,Financial
11,CHMI,Cherry Hill Mortgage Investment Corporation Common Stock,Financial
12,BERK,Berkshire Bancorp Inc (DE),Financial
13,BPRN,The Bank of Princeton Common Stock,Financial
14,XYF,"X Financial American Depositary Shares, each representing two Class A Ordinary Shares",Financial
15,SLCT,"Select Bancorp, Inc. Common Stock",Financial
16,AMHC,Amplitude Healthcare Acquisition Corporation Class A Common Stock,Financial
17,AHOTF,American Hotel Income Properties REIT LP Unit Ltd Partnership Int,Financial
18,MLGF,Malaga Financial Corp,Financial
19,STRS,Stratus Properties Inc. Common Stock,Financial
0,CHMG,Chemung Financial Corp Common Stock,Financial
1,RELI,Reliance Global Group Inc - Ordinary Shares,Financial
2,ISTR,Investar Holding Corporation Common Stock,Financial
3,ICBK,"County Bancorp, Inc. Common Stock",Financial
4,FBIP,FNB Bancorp Inc. (PA),Financial
5,FCCY,1st Constitution Bancorp (NJ) Common Stock,Financial
6,WPG,Washington Prime Group Inc. Common Stock,Financial
7,OVBC,Ohio Valley Banc Corp. Common Stock,Financial
8,ABGSF,Abg Sundal Collier Asa,Financial
9,CNPOF,Canopy Rivers Inc.,Financial
10,CFFI,C&amp;F Financial Corporation Common Stock,Financial
11,AYRSF,AYR Strategies Inc,Financial
12,FBIZ,"First Business Financial Services, Inc. Common Stock",Financial
13,FNWB,First Northwest Bancorp Common Stock,Financial
14,FGBI,"First Guaranty Bancshares, Inc. Common Stock",Financial
15,ALID,Allied Corp (New),Financial
16,CBFV,"CB Financial Services, Inc. Common Stock",Financial
17,KLIB,Killbuck Bancshares Inc.,Financial
18,AMRK,"A-Mark Precious Metals, Inc. Common Stock",Financial
19,BFIN,BankFinancial Corporation Common Stock,Financial
0,DBCP,Delmar Bancorp Common Stock,Financial
1,MBCN,Middlefield Banc Corp. Common Stock,Financial
2,FNCB,FNCB Bancorp Inc. Common Stock,Financial
3,JT,"Jianpu Technology Inc. American depositary shares, each two representing five Class A ordinary shares",Financial
4,OCBI,Orange County Bancorp Inc.,Financial
5,LYBC,Lyons Bancorp Inc.,Financial
6,STTTF,Splitit Payments Ltd - Ordinary Shares,Financial
7,BOCH,Bank of Commerce Holdings (CA) Common Stock,Financial
8,WMC,Western Asset Mortgage Capital Corporation Common Stock,Financial
9,EARN,Ellington Residential Mortgage REIT Common Shares of Beneficial Interest,Financial
10,CVLY,"Codorus Valley Bancorp, Inc Common Stock",Financial
11,MVC,"MVC Capital, Inc. Common Stock",Financial
12,SCBH,Seacoast Commerce Banc Holdings,Financial
13,SBFG,"SB Financial Group, Inc. Common Stock",Financial
14,OXSQ,Oxford Square Capital Corp. Common Stock,Financial
15,OFED,Oconee Federal Financial Corp. Common Stock,Financial
16,RVRF,River Financial Corp,Financial
17,FKYS,First Keystone Corp.,Financial
18,HLAN,Heartland BancCorp,Financial
19,STND,Standard AVB Financial Corp. Common Stock,Financial
0,FCCO,First Community Corporation Common Stock,Financial
1,ESQ,"Esquire Financial Holdings, Inc. Common Stock",Financial
2,BWFG,"Bankwell Financial Group, Inc. Common Stock",Financial
3,FREVS,First Real Estate Investment Trust of N.J.,Financial
4,ESXB,Community Bankers Trust Corporation Common Stock (VA),Financial
5,TPRP,Tower Properties Co.,Financial
6,SHBI,Shore Bancshares Inc Common Stock,Financial
7,EBMT,"Eagle Bancorp Montana, Inc. Common Stock",Financial
8,TRUX,Truxton Corp,Financial
9,OVLY,Oak Valley Bancorp (CA) Common Stock,Financial
10,RVSB,Riverview Bancorp Inc Common Stock,Financial
11,ARL,"American Realty Investors, Inc. Common Stock",Financial
12,FRAF,Franklin Financial Services Corporation Common Stock,Financial
13,MNSB,"MainStreet Bancshares, Inc. Common Stock",Financial
14,SNFCA,Security National Financial Corporation Class A Common Stock,Financial
15,BSBK,Bogota Financial Corp. Common Stock,Financial
16,FNRN,First Northern Community Bancorp,Financial
17,NWIN,Northwest Indiana Bancorp,Financial
18,CNBW,CNB Corp.,Financial
19,JFIN,Jiayin Group Inc. American Depositary Shares,Financial
0,CLPR,Clipper Realty Inc. Common Stock,Financial
1,LARK,Landmark Bancorp Inc. Common Stock,Financial
2,CHBH,Croghan Bancshares Inc.,Financial
3,ENBP,ENB Financial Corp,Financial
4,FUNC,First United Corporation Common Stock,Financial
5,QNBC,QNB Corp.,Financial
6,NSCO,"Nesco Holdings, Inc. Common Stock",Financial
7,MYFW,"First Western Financial, Inc. Common Stock",Financial
8,MRBK,Meridian Corporation Common Stock,Financial
9,DDEJF,Dundee Corp,Financial
10,HWBK,"Hawthorn Bancshares, Inc. Common Stock",Financial
