,ticker,company_name,NASDAQ_sector
9,SWSDF,Swiss Life Holding AG,Financial
10,UDR,"UDR, Inc. Common Stock",Financial
11,CMTDF,Sumitomo Mitsui Trust Holdings Inc,Financial
12,ASXFF,ASX Ltd,Financial
13,CKHGF,Capitec Bank Holdings Ltd,Financial
14,KB,KB Financial Group Inc,Financial
15,ZIJMF,Zijin Mining Group Co Ltd,Financial
16,BRPBF,BRPBF,Financial
17,OSCUF,Japan Exchange Group Inc.,Financial
18,CLLDF,Capitaland Ltd (Singapore),Financial
19,SYF,Synchrony Financial Common Stock,Financial
0,KEY,KeyCorp Common Stock,Financial
1,WPC,W. P. Carey Inc. REIT,Financial
2,ACGL,Arch Capital Group Ltd. Common Stock,Financial
3,APO,"Apollo Global Management, Inc. Class A Common Stock",Financial
4,SLMAF,Sanlam Ltd Ord,Financial
5,PFG,Principal Financial Group Inc Common Stock,Financial
6,SNLAY,Sino Land Co. Ltd. ADR (Sponsored),Financial
7,SNLAF,Sino Land Co. Ltd.,Financial
8,DKNG,DraftKings Inc. Class A Common Stock,Financial
9,AYAAF,Ayala Land Inc. (Philippines),Financial
10,AGRPF,Absa Group Ltd (New),Financial
11,CAIXY,CaixaBank SA ADR,Financial
12,HLPPF,Hang Lung Properties Ltd,Financial
13,DNKEY,Danske Bank A/S ADR (Sponsored),Financial
14,SIVB,SVB Financial Group Common Stock,Financial
15,RF,Regions Financial Corporation Common Stock,Financial
16,BEN,"Franklin Resources, Inc. Common Stock",Financial
17,ERIE,Erie Indemnity Company Class A Common Stock,Financial
18,URI,"United Rentals, Inc. Common Stock",Financial
19,WRB,W.R. Berkley Corporation Common Stock,Financial
0,CCC,Clarivate Plc Ordinary Shares,Financial
1,CFG,"Citizens Financial Group, Inc. Common Stock",Financial
2,ETFC,E*TRADE Financial Corporation Common Stock,Financial
3,MPW,"Medical Properties Trust, Inc. common stock",Financial
4,HRGLF,Hargreaves Lansdown Plc Bristol,Financial
5,L,Loews Corporation Common Stock,Financial
6,BDOUF,BDO Unibank Inc.,Financial
7,RJF,"Raymond James Financial, Inc. Common Stock",Financial
8,NLY,Annaly Capital Management Inc Common Stock,Financial
9,CG,The Carlyle Group Inc. Common Stock,Financial
10,BPY,Brookfield Property Partners L.P. Limited Partnership Units,Financial
11,CPT,Camden Property Trust Common Stock,Financial
12,EBKDY,Erste Group Bank Ag S/Adr,Financial
13,BCH,Banco De Chile Banco De Chile ADS,Financial
14,CCGDF,China Cinda Asset Management Co Ltd,Financial
15,CONE,CyrusOne Inc Common Stock,Financial
16,TKGZY,Turkiye Garanti Bankasi A.S. ADR  (Sponsored) Repstg 2000  Shs (New),Financial
